Source	EgoNetworksCombined	id	Occupation	Political rank	Military rank	RecipientLetterCount by EE ID	AuthorLetterCount by EE ID	Total Letters	CNRS-D ID	Full Name	Full Name Reversed	Particule?	Relationships	Aristo title	Clerical title	Wikipedia URL	VIAF ID	VIAF URL	Academies by VIAF	Wikipedia Image Link	Knowledge Network	Social Network	Professional Network	Religious Network	Academies	Royal Academy	Institut de France	Academy_single	Academiy_single_provincial	Salons	GenderGroup	Nationality	Birth Date	Birth Year	Death Date	Death Year	Birth City	Birth Country	Death City	Death Country	LockeNet	ASmithNet	VoltaireNet	RousseauNet	D'AlembertNet	HumeNet	BenthamNet
EE		duranabrah025626	physician,doctor,philosopher			0	0	0		Abraham Durand	Durand, Abraham										Letters_Philosophical		Medical								Male	French	1600-00-00	1600				France		unknown	 	 	 	 	 	 	 
EE		levallouis025477	courtier,army officer,soldier		officer	0	0	0		Louis Le Valois d'Escoville	Le Valois d'Escoville, Louis	Yes										Court, Military, Aristocracy									Male	French	1615-00-00	1615			Calvados	France		unknown	 	 	 	 	 	 	 
EE		duhamjeanb025453	biblical scholar,academy member,astronomer			0	0	0		Rev. Jean Baptiste Duhamel	Duhamel, Rev. Jean Baptiste				Rev.	http://en.wikipedia.org/wiki/Jean-Baptiste_du_Hamel	1.4779364E7	http://viaf.org/viaf/14779364/			Letters_Religious, Sciences_Mathematical			Catholic_Clergy	Académie des sciences	Yes		Yes			Male	French	6/11/1623	1623	8/6/1706	1706	Vire	France	Paris	France	 	 	 	 	 	 	 
EE	Locke	toinanicol003327	scholar,numismatist			80	119	199		Nicolas Toinard	Toinard, Nicolas						6.6349348E7	http://viaf.org/66349348			Letters_Antiquarian, Letters_Religious	Elite									Male	French	3/31/1629	1629	1/5/1706	1706	Orléans	France	Paris	France	Locke	 	 	 	 	 	 
EE		spannwille025362	physician,doctor			0	0	0		Willem Spannut	Spannut, Willem												Medical								Male	French	1631-00-00	1631			Nord	France		unknown	 	 	 	 	 	 	 
EE		dodardenis004745	academy member,physician,doctor,scientist,botanist			0	1	1		Denis Dodart	Dodart, Denis					http://en.wikipedia.org/wiki/Denis_Dodart	1.7320058E7	http://viaf.org/17320058	Académie des sciences	upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Denis_Dodart_1634-1707.jpg/220px-Denis_Dodart_1634-1707.jpg	Sciences_Natural, Sciences		Gardening-farming, Medical, Cultural		Académie des sciences	Yes		Yes		Prie	Male	French	1634-00-00	1634	9/5/1707	1707	Paris	France	Paris	France	 	 	 	 	 	 	 
EE		louisxivki024537	monarch			0	0	0		Louis XIV, king of France	Louis XIV, king of France			king			2.68675767E8	http://viaf.org/268675767				Aristocracy, Elite, Government									Male	French	1638-00-00	1638	1715-00-00	1715	Saint Germain-en-Laye	France	Versailles	France	 	 	 	 	 	 	 
EE		magnopierr023907	academy member,scientist,botanist			0	0	0		Pierre Magnol	Magnol, Pierre					http://en.wikipedia.org/wiki/Pierre_Magnol	6.6619287E7	http://viaf.org/66619287	Académie royale des sciences; Société royale des sciences de Montpellier	upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Pierre-Magnol-1638-1715.jpg/220px-Pierre-Magnol-1638-1715.jpg	Sciences_Natural, Sciences	Court	Gardening-farming, Cultural, Medical, Education		Académie des sciences, Société royale des sciences de Montpellier	Yes					Male	French	6/8/1638	1638	5/21/1715	1715	Montpellier	France		unknown	 	 	 	 	 	 	 
EE		simonricha003157	scholar			0	0	0		Richard Simon	Simon, Richard					http://en.wikipedia.org/wiki/Richard_Simon	1.2332566E7	http://viaf.org/12332566		upload.wikimedia.org/wikipedia/commons/thumb/1/15/Simon_leers.jpg/220px-Simon_leers.jpg	Letters_Religious			Catholic_Clergy							Male	French	5/13/1638	1638	4/11/1712	1712	Dieppe	France	Dieppe	France	 	 	 	 	 	 	 
EE	Voltaire	amfryguill000953	poet,author,conversationalist			2	2	4		Guillaume Amfrye de Chaulieu	Amfrye de Chaulieu, Guillaume	Yes				http://en.wikipedia.org/wiki/Guillaume_Amfrye_de_Chaulieu	2.7174209E7	http://viaf.org/27174209		upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Guillaume_Amfrye_Chaulieu.jpg/235px-Guillaume_Amfrye_Chaulieu.jpg	Letters_Literary	Court, Elite	Artist	Catholic_Clergy						Quinault	Male	French	1639-00-00	1639	6/27/1720	1720	Fontenay	France		unknown	 	 	Voltaire	 	 	 	 
EE		cotten0000025574	horticulturist,Huguenot			0	0	0		N. Cottereau	Cottereau, N.												Gardening-farming								Male	French	1641-00-00	1641	1706-00-00	1706		France	Paris	France	 	 	 	 	 	 	 
EE		vieusraymo025588	physician,doctor,anatomist			0	0	0		Raymond Vieussens	Vieussens, Raymond										Sciences_Medicine	Court	Medical, Cultural								Male	French	1641-00-00	1641	8/16/1716	1716	Le Vigan	France		unknown	 	 	 	 	 	 	 
EE	Locke	chardjean0004713	academy member,traveller			0	1	1		Jean Chardin	Chardin, Jean					http://en.wikipedia.org/wiki/Jean_Chardin	4.9223162E7	http://viaf.org/viaf/49223162/		http://upload.wikimedia.org/wikipedia/commons/1/15/Jean_Chardin.jpg	Letters_Literary	Government, Court	Artisan, Trade-merchant	Protestant_Non-Anglican_Calvinist	Royal Society			Yes			Male	French	11/16/1643	1643	12/25/1712	1712	Paris	France	London	England	Locke	 	 	 	 	 	 
EE	Voltaire	lefoucharl002250	police official	police		4	0	4		Charles Le Fournière de Bernaville	Le Fournière de Bernaville, Charles	Yes										Government									Male	French	1644-00-00	1644	12/8/1718	1718	Bernaville	France		unknown	 	 	Voltaire	 	 	 	 
EE		aignafranc000048	physician,friar,chemist			0	0	0		Rev. François Aignan	Aignan, Rev. François				Rev.						Sciences_Natural, Sciences_Medicine	Court	Medical	Catholic_Clergy							Male	French	1644-00-00	1644	1709-00-00	1709	Orléans	France		unknown	 	 	 	 	 	 	 
EE	Voltaire	arouefranc022966	notary,civil servant			1	1	2		François Arouet	Arouet, François											Government	Legal								Male	French	1645-00-00	1645	1/1/1722	1722		France		unknown	 	 	Voltaire	 	 	 	 
EE		lemernicol025487	chemist,Huguenot,apothecary,pharmacist,druggist			0	0	0		Nicolas Lémery	Lémery, Nicolas					http://en.wikipedia.org/wiki/Nicolas_Lemery	4.4301671E7	http://viaf.org/44301671	Académie des sciences	upload.wikimedia.org/wikipedia/commons/thumb/7/76/Nicolas_L%C3%A9mery.jpg/230px-Nicolas_L%C3%A9mery.jpg	Sciences_Natural	Court	Medical, Education		Académie des sciences	Yes		Yes			Male	French	11/17/1645	1645	6/19/1715	1715	Rouen	France	Paris	France	 	 	 	 	 	 	 
